TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,Item,Qty,Harga,KETERANGAN,Status
2025-09-01,Bintang Mas,Kain Keras TK,1 roll,425000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-05-03,Cahaya Surabaya,Kain Lurik,1 m,48000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-19,CV. Mimi Fashion,Kain Jala Fashion,1 kg,62000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-04-16,Esteva Indonesia,Kain Milano,1 roll,1215000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-22,Flores Jaya,Kain Jala Mesh Biru,1 m,75000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Orange,1 m,47000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Biru,1 m,47000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Merah,1 m,47000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-01,PT Knitto Tekstil Indonesia,Kain Commbed 24s Navy,1 kg,109000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-01,PT Knitto Tekstil Indonesia,Kain Commbed 24s Mustard,1 kg,106000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-06-25,PT. Domivatex Lestari Abadi,Kain Pablo Escobar,1 yard,20000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-06-25,PT. Domivatex Lestari Abadi,Kain Toyobo,1 yard,16500,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-23,PT. Knitto Tekstil Indonesia,CVC Pique Hexagon 24s - Abu Muda,1 kg,107000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-23,PT. Knitto Tekstil Indonesia,CVC Pique Hexagon 24s - Putih Bluish,1 kg,102000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-06-17,Sinar Surya,TC Olive Putih,1 roll,1550000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-17,Sinar Surya,TC Olive Pramuka,1 roll,1050000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-12-09,Sinar Surya,Kain Jet Black,1 pcs,28500,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-04,Sinar Surya,Kain American Macan,1 m,26000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-07-08,Toko Bahan Textile Trijaya,Kain Japan Dril,1 yard,35000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-11-21,Toko Bahan Textile Trijaya,Kain Union,1 yard,28000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-08-22,Toko Kain Hongkong ,Kain Toyobo,1 m,25000,Jika Pembelian Banyak Harga Berbeda,Pending
2024-04-23,Toko Kain Sutratex,Kain Satin,1 m,30000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-04-23,Toko Kain Sutratex,Kain Centini,1 m,30000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-05-15,Toko Konveksi (KF),Kain Keras Megatop,1 roll,467500,Jika Pembelian Banyak Harga Berbeda,Pending
2025-05-22,Toko Konveksi (KF),Kain Kapas Kuralon,1 roll,167500,Jika Pembelian Banyak Harga Berbeda,Pending
2025-05-22,Toko Konveksi (KF),Kain Furing,1 roll,477500,Jika Pembelian Banyak Harga Berbeda,Pending
2025-05-03,UD. Karunia Sejahtera,Kain Toyobo Premium,1 roll,1350000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-09-17,UD. Karunia Sejahtera,Kain TRM,1 m,21000,Jika Pembelian Banyak Harga Berbeda,Pending
2025-12-09,UD. Menang Kancing Surabaya,Kain Jet Black Wool Peach,1 m,28500,Jika Pembelian Banyak Harga Berbeda,Pending
2026-01-13,test,test,test,0,test,Pending
